cart-prod-uw2.spil.xfinity.com AS16509 AS16509 - AMAZON.COM, INC. US 35.80.0.0/12
cavyui-build.dev.xfinity.com AS16625 AS16625 - AKAMAI TECHNOLOGIES, INC. US 23.5.224.0/20
cavyui-build.stg.xfinity.com AS16625 AS16625 - AKAMAI TECHNOLOGIES, INC. US 23.5.224.0/20
cavyui-build.xfinity.com AS16625 AS16625 - AKAMAI TECHNOLOGIES, INC. US 23.5.224.0/20
cavyui-preview.www.stg.xfinity.com AS16625 AS16625 - AKAMAI TECHNOLOGIES, INC. US 23.5.224.0/20
cavyui-preview.www.xfinity.com AS16625 AS16625 - AKAMAI TECHNOLOGIES, INC. US 23.5.224.0/20
cavyui.dev.xfinity.com AS16625 AS16625 - AKAMAI TECHNOLOGIES, INC. US 23.5.224.0/20
cavyui.stg.xfinity.com AS16625 AS16625 - AKAMAI TECHNOLOGIES, INC. US 23.5.224.0/20
cavyui.xfinity.com AS16625 AS16625 - AKAMAI TECHNOLOGIES, INC. US 23.5.224.0/20
ccrpil-1p.gslb4.xfinity.com AS7922 AS7922 - COMCAST CABLE COMMUNICATIONS, LLC US 96.112.0.0/13
ccrpil-refresh-1p.gslb4.xfinity.com AS7922 AS7922 - COMCAST CABLE COMMUNICATIONS, LLC US 96.112.0.0/13
